98;Guinea;10,735;None;66;None;10,066;None;603;24;812;5;33,375;2,524;13,220,584
99;DRC;10,729;None;272;None;10,183;None;274;None;119;3;None;None;90,228,144
100;Maldives;10,398;None;34;None;9,213;None;1,151;12;19,152;63;149,135;274,684;542,933
101;Finland;10,391;+147;345;None;8,100;None;1,946;4;1,875;62;1,071,331;193,278;5,542,941
102;French Guiana;9,968;None;67;None;9,637;None;264;4;33,161;223;66,825;222,310;300,594
103;Tajikistan;9,895;+43;77;None;8,707;+46;1,111;None;1,032;8;None;None;9,590,912
104;Mozambique;8,979;None;64;None;5,595;None;3,320;None;285;2;142,028;4,513;31,470,865
105;Luxembourg;8,797;+88;125;None;7,428;None;1,244;5;13,996;199;849,977;1,352,304;628,540
106;Gabon;8,797;None;54;None;8,067;None;676;3;3,929;24;180,173;80,479;2,238,765
107;Haiti;8,792;None;229;None;6,949;None;1,614;None;769;20;28,290;2,473;11,437,747
108;Uganda;8,662;+171;79;None;4,546;+76;4,037;None;188;2;489,264;10,615;46,093,908
109;Zimbabwe;7,858;None;228;None;6,322;None;1,308;None;527;15;159,741;10,708;14,917,513
110;Georgia;7,564;+471;48;+2;3,992;+278;3,524;None;1,897;12;639,816;160,468;3,987,180
111;Mauritania;7,511;None;162;None;7,163;None;186;3;1,605;35;80,652;17,234;4,679,827
112;Jamaica;6,795;+91;119;+3;2,345;+233;4,331;15;2,292;40;80,055;27,005;2,964,486
113;Slovenia;6,330;+227;155;+1;4,041;None;2,134;24;3,045;75;234,571;112,828;2,079,012
114;Cabo Verde;6,205;None;62;None;5,399;None;744;None;11,130;111;76,576;137,351;557,521
115;Malawi;5,783;None;179;None;4,535;None;1,069;4;300;9;54,015;2,806;19,252,077
116;Cuba;5,780;+62;122;None;5,118;+196;540;1;510;11;636,163;56,174;11,324,826
117;Guadeloupe;5,528;None;57;None;2,199;None;3,272;24;13,815;142;55,187;137,919;400,142
118;Eswatini;5,521;None;111;None;5,061;None;349;11;4,746;95;31,969;27,483;1,163,217
119;Djibouti;5,417;None;61;None;5,346;None;10;None;5,463;62;77,365;78,018;991,625
120;Angola;5,211;None;189;None;2,215;None;2,807;15;157;6;85,213;2,573;33,116,269
121;Nicaragua;5,170;None;151;None;2,913;None;2,106;None;778;23;None;None;6,644,534
122;Hong Kong;5,109;+4;105;None;4,849;+7;155;10;680;14;3,311,279;440,769;7,512,502
123;Congo;5,089;None;89;None;3,887;None;1,113;None;917;16;None;None;5,551,721
124;Lithuania;5,081;+125;94;+1;2,494;+28;2,493;None;1,873;35;796,027;293,493;2,712,251
125;Equatorial Guinea;5,045;None;83;None;4,879;None;83;4;3,567;59;60,916;43,074;1,414,217
126;Suriname;4,899;None;105;None;4,715;None;79;6;8,332;179;14,382;24,460;587,971
127;Rwanda;4,847;None;29;None;3,197;None;1,621;None;372;2;500,249;38,387;13,031,700
128;CAR;4,829;None;62;None;1,914;None;2,853;2;995;13;32,263;6,651;4,850,845
129;Trinidad and Tobago;4,709;+80;78;+2;2,802;+73;1,829;13;3,362;56;32,122;22,934;1,400,654
130;Syria;4,289;None;203;None;1,130;None;2,956;None;244;12;None;None;17,606,001
131;Bahamas;4,220;None;96;None;2,290;None;1,834;79;10,705;244;20,835;52,854;394,200
132;Réunion;4,178;None;16;None;3,360;None;802;17;4,658;18;35,419;39,488;896,945
133;Aruba;4,038;None;30;None;3,406;None;602;12;37,780;281;32,255;301,781;106,882
134;Mayotte;3,779;None;42;None;2,964;None;773;2;13,770;153;13,000;47,368;274,447
135;Somalia;3,593;None;99;None;3,001;None;493;None;225;6;None;None;16,002,333
136;Gambia;3,585;None;115;None;2,224;None;1,246;None;1,473;47;17,472;7,180;2,433,368
137;Thailand;3,583;+8;59;None;3,386;+2;138;1;51;0.8;749,213;10,727;69,845,095
138;Estonia;3,577;+71;67;+1;2,727;+52;783;2;2,696;50;220,132;165,916;1,326,765
139;Sri Lanka;3,392;+4;13;None;3,254;+9;125;None;158;0.6;289,588;13,509;21,436,312
140;Malta;3,204;+65;38;+1;2,711;+43;455;None;7,251;86;260,917;590,516;441,846
141;Botswana;3,172;None;16;None;710;None;2,446;1;1,342;7;184,076;77,883;2,363,484
142;Mali;3,156;None;131;None;2,467;None;558;None;155;6;55,197;2,707;20,394,111
143;Guyana;2,968;None;85;None;1,776;None;1,107;15;3,769;108;14,520;18,437;787,526
144;Iceland;2,872;+63;10;None;2,212;+18;650;3;8,402;29;285,315;834,718;341,810
145;South Sudan;2,715;None;50;None;1,290;None;1,375;None;242;4;12,044;1,073;11,227,004
146;Guinea-Bissau;2,362;None;39;None;1,549;None;774;5;1,193;20;None;None;1,979,541
147;Benin;2,357;None;41;None;1,973;None;343;None;193;3;203,831;16,705;12,201,596
148;Sierra Leone;2,252;None;72;None;1,697;None;483;None;281;9;None;None;8,017,480
149;Burkina Faso;2,123;None;59;None;1,385;None;679;None;101;3;None;None;21,044,450
150;Andorra;2,110;None;53;None;1,540;None;517;9;27,297;686;137,457;1,778,297;77,297
151;Uruguay;2,097;None;48;None;1,824;None;225;2;603;14;242,136;69,643;3,476,826
152;Belize;2,080;+54;28;+1;1,290;+18;762;2;5,207;70;15,323;38,361;399,437
153;Yemen;2,041;+1;589;None;1,320;+13;132;None;68;20;None;None;29,989,436
154;Latvia;2,019;+74;38;None;1,307;None;674;3;1,074;20;332,285;176,681;1,880,711
155;French Polynesia;1,964;None;8;None;1,555;None;401;11;6,981;28;26,355;93,682;281,324
156;New Zealand;1,849;+1;25;None;1,783;+3;41;None;370;5;976,369;195,192;5,002,100 
157;Togo;1,818;None;48;None;1,365;None;405;None;218;6;93,294;11,204;8,326,881
158;Cyprus;1,811;+22;22;None;1,369;None;420;1;1,497;18;388,298;321,012;1,209,605
159;Lesotho;1,680;None;39;None;926;None;715;None;783;18;19,169;8,930;2,146,584
160;Martinique;1,543;None;21;None;98;None;1,424;9;4,113;56;36,331;96,834;375,190
161;Liberia;1,347;+1;82;None;1,221;None;44;None;265;16;None;None;5,087,181
162;Chad;1,211;None;85;None;1,070;None;56;None;73;5;None;None;16,541,668
163;Niger;1,198;None;69;None;1,115;None;14;None;49;3;25,579;1,048;24,418,730
164;Vietnam;1,096;None;35;None;1,020;None;41;None;11;0.4;1,009,145;10,344;97,561,728
165;Sao Tome and Principe;911;None;15;None;886;None;10;None;4,138;68;5,024;22,818;220,178
166;San Marino;732;None;42;None;680;None;10;3;21,562;1,237;7,755;228,431;33,949
167;Diamond Princess;712;None;13;None;651;None;48;4;None;None;None;None; 
168;Turks and Caicos;695;+5;6;None;651;+3;38;4;17,890;154;3,464;89,166;38,849
169;Channel Islands;678;+1;48;None;600;None;30;2;3,890;275;123,884;710,870;174,271
